brand_name,score,area_code
강순자옛맛김치찌개,36,3110639
강순자옛맛김치찌개,36,3120119
강순자옛맛김치찌개,33,3120089
강순자옛맛김치찌개,15,3110647
강순자옛맛김치찌개,15,3110643
강순자옛맛김치찌개,15,3110657
강쉐프스토리,37,3110912
강씨가문의족발,15,3120185
강정구의 피자생각,31,3110733
강정이기가막혀,31,3110174
강정이기가막혀,31,3110934
강정이기가막혀,31,3130046
강정이넘치는집,62,3120209
강찜찌,42,3120235
강창구찹쌀진순대,44,3120144
강창구찹쌀진순대,42,3120130
강창구찹쌀진순대,37,3120149
강창구찹쌀진순대,36,3120175
강창구찹쌀진순대,35,3120149
강창구찹쌀진순대,32,3120131
강창구찹쌀진순대,31,3110772
강창구찹쌀진순대,15,3120119
강창구찹쌀진순대,15,3120235
강창구찹쌀진순대,15,3110369
강화우돈,15,3110664
개그맨 정용국의 용곱창,31,3120199
개미집,43,3120098
개미집,43,3120094
개미집,42,3120041
개미집,40,3120006
개미집,33,3130191
개미집,33,3120148
개미집,31,3110273
개미집낙곱새,36,3110148
개성집,52,3120122
개성집,42,3110619
개성집,40,3120182
개성집,36,3120187
개성집,31,3130024
개수리막국수,47,3111052
개화,53,3120028
개화,37,3001491
개화,32,3120156
갤러리문래,40,3120140
갯벌의 조개,47,3130311
갯벌의 조개,15,3120030
거궁,47,3120119
거궁,15,3130153
거금도갯장어마을,31,3110703
걸작떡볶이치킨,47,3120129
걸작떡볶이치킨,38,3130122
걸작떡볶이치킨,35,3130103
걸작떡볶이치킨,32,3110396
걸작떡볶이치킨,32,3120211
걸작떡볶이치킨,15,3110514
걸작떡볶이치킨,15,3110306
걸작떡볶이치킨,15,3110727
걸작떡볶이치킨,15,3120076
걸작떡볶이치킨,15,3130183
걸작떡볶이치킨,15,3110931
걸작떡볶이치킨,15,3110296
겉바속촉 압력솥통닭,15,3111000
게방식당,51,3120203
게이트나인,35,3120222
겐로쿠우동,58,3120053
겐로쿠우동,52,3120012
겐로쿠우동,47,3120103
겐로쿠우동,43,3130245
겐츠베이커리,47,3120145
겸손돈가스,38,3110641
경기미당,15,3110992
경동집국물두루치기,45,3130002
경몽루,35,3120193
경미양꼬치,39,3130110
경성면옥,52,3001496
경성밥상,33,3130277
경성밥상,15,3120228
경성밥상,15,3120086
경성양꼬치,67,3110140
경성양꼬치,53,3120006
경성양꼬치,40,3120078
경성양꼬치,37,3120012
경성양꼬치,37,3120081
경성양꼬치,35,3110989
경성양꼬치,34,3110869
경성양꼬치,34,3110954
경성양꼬치,33,3120208
경성양꼬치,31,3130318
경성양꼬치,31,3120130
경성양꼬치,31,3120106
경성양꼬치,31,3110564
경성양꼬치,31,3120148
경성양꼬치,31,3120056
경성양꼬치,31,3110873
경성양꼬치,31,3110550
경성양꼬치,15,3110763
경성양꼬치,15,3120078
경성주막1929,41,3120113
경성주막1929,37,3120076
경성주막1929,35,3130002
경성주막1929,34,3130232
경성주막1929,33,3110410
경성주막1929,31,3120121
경성주막1929,31,3130167
경성한우국밥,38,3130002
경성한우국밥,15,3110690
경성함바그,47,3130038
경성함바그,40,3120236
경성함바그,38,3120243
경성함바그,38,3120029
경성함바그,36,3110725
경아식당,59,3120119
경아식당,15,3110734
경아식당,15,3110062
경아식당,15,3110786
경아식당,15,3130265
경아식당,15,3130181
경아식당,15,3110763
경아식당,15,3001496
경아식당,15,3120130
경양카츠,51,3120081
경양카츠,48,3110564
경양카츠,46,3130018
경양카츠,44,3120163
경양카츠,39,3120130
경양카츠,37,3130245
경양카츠,34,3110187
경양카츠,15,3120064
경천애인2237,53,3120149
계경순대국,44,3130052
계경순대국,40,3130069
계경순대국,37,3130312
계경순대국,35,3120224
계경순대국,33,3110855
계경순대국,33,3110075
계경순대국,32,3120056
계경순대국,31,3120040
계경순대국,31,3120153
계경순대국,31,3130132
계경순대국,31,3130020
계단라멘,15,3120119
계단라멘,15,3110681
계담다,38,3130192
계류관,55,3130052
계릴라도리탕,15,3120207
계림원누릉지통닭구이,49,3130014
계림원누릉지통닭구이,40,3110869
계림원누릉지통닭구이,31,3110618
계림원누릉지통닭구이,31,3110658
계림원누릉지통닭구이,15,3130318
계모임,43,3110300
계모임,39,3120018
계모임,37,3130073
계모임,35,3120113
계모임,15,3130194
계모임,15,3110763
계백집,37,3120128
계백집,31,3110293
계백집,15,3120076
계승집,34,3130303
계약소,32,3120179
계옥정,48,3110761
계원,58,3110367
계진상,41,3130038
계탄집,64,3110143
계탄집,43,3110132
고가길구공탄,47,3110076
고고함박,37,3120133
고고함박,32,3120099
고구려,41,3130241
고구려,36,3120102
고구려,32,3120138
고구려,31,3120170
고급오복수산,62,3120188
"고기,원칙",15,3110685
고기가뜩 김치찜,40,3120215
고기굽는마을,33,3120070
고기굽는마을,31,3110296
고기굽는마을,15,3110278
고기굽는방앗간,32,3120054
고기극찬,35,3110311
고기극찬,32,3110619
고기극찬,31,3110472
고기극찬,15,3110835
고기극찬,15,3120210
고기극찬,15,3110426
고기극찬,15,3110543
고기극찬,15,3110207
고기극찬,15,3120106
고기꾼김춘배,49,3120006
고기꾼김춘배,47,3130190
고기꾼김춘배,44,3110954
고기꾼김춘배,43,3110569
고기꾼김춘배,12,3110581
고기대통령,38,3120053
고기듬뿍 대왕비빔밥,15,3110230
고기듬뿍 대왕비빔밥,15,3110255
고기듬뿍국물두루치기,48,3120144
고기로,15,3120059
고기를사랑하는집,31,3120085
고기를품다,52,3130112
고기를품다,49,3120049
고기를품다,44,3110239
고기명작,15,3110946
고기박사,34,3110897
고기반햄반김치찌개,34,3110369
고기반햄반김치찌개,15,3110268
고기반햄반김치찌개,15,3110174
고기싸롱,42,3111075
고기싸롱,42,3120091
고기싸롱,40,3110725
고기싸롱,38,3130145
고기싸롱,36,3130285
고기싸롱,35,3110688
고기싸롱,35,3110495
고기싸롱,35,3110855
고기싸롱,34,3110232
고기싸롱,33,3110212
고기싸롱,33,3110647
고기싸롱,31,3120081
고기싸롱,31,3110258
고기싸롱,15,3120072
고기싸롱,15,3130270
고기싸롱,15,3110161
고기싸롱,15,3110826
고기싸롱,15,3110897
고기싸롱,15,3120244
고기싸롱,15,3130273
고기싸롱,15,3110809
고기싸롱,15,3110658
고기싸롱,15,3120119
고기싸롱,15,3110793
고기온도,34,3110544
고기원칙,43,3120056
고기원칙,43,3120122
고기원칙,38,3110895
고기원칙,36,3110723
고기원칙,31,3110641
고기혁명,31,3110541
고기혁명,15,3110456
고깃세,34,3120045
고깃세,15,3110561
고니스,33,3110237
고니스,15,3120131
고담,51,3120022
고담,35,3110073
고도,39,3110552
고도식,79,3111013
고도식,47,3130194
고동함박,47,3110761
고동함박,37,3111013
고돼지,39,3120012
